id;Idade;UF;Cidade;Cidade_1;Cidade_2;Cidade_3;Cidade_4;Cidade_5;Cidade_6;Cidade_7;Cidade_8;Cidade_9;Cidade_10;Cidade_11;Cidade_12;Cidade_13;Cidade_14;Cidade_15;Cidade_16;Cidade_17;Cidade_18;Cidade_19;Cidade_20;Cidade_21;Cidade_22;Cidade_23;Cidade_24;Cidade_25;Cidade_26;Bairro;Sexo;Profissão;Regime de Contratação;Meio de locomoção predominante;Quantas pessoas moram com você?;Qual a faixa etaria?;Quase la o/;Costuma assistir a Lives / Show online durante o trajeto?;Quantas horas em media você utiliza a internet por dia da semana (Seg a Sexta) ?;Quantas horas em media você utiliza a internet por dia (Finais de Semana e Feriado)?;Você tem assistido a lives?;Quais Redes sociais você utiliza?;Outros:;Qual você mais prefere para Live / Shows;Quantas lives / Shows por semana você assiste?;Só falta um;Qual a media de tempo das lives que você assiste?;Qual a duração das lives você acharia melhor ou Ideal?;Você interage durante as lives?;Qual conteudo de live você acha mais interessante?;Outros;Qual estilo musical?;Você assina algum serviço online?;Qual?;Outros_27;Novo Cenario;Oque você faria?;Fim :);Blank [narrative_40];Você pagaria para assistir a lives?;Qual seria um valor que você acharia justo pagar por uma live?;E se fosse um pacote mensal?;Column1
1;36;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Jardim Guarujá;Feminino;Analistas de sistemas;Clt;Metro;4;33 34 69 65;;Não;5;50;Sim;Facebook, Instagram, NetFlix, Youtube;;Youtube;2;;2;4;Sim;Famosos, Musicais;Religiosos Missas;Sertanejo;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;40;06/17/2020 13:29
2;33;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;São Salvador;Feminino;Analistas de sistemas;Clt;Carro;2;33, 61;;Não;8;8;Sim;Instagram, Youtube;;Instagram;3;;12;1;Não;Empreendedorismo, Alta performance, Saúde;N/A;N/A;Sim;NetFlix;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;27;18;06/17/2020 12:48
3;28;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Parque mandaqui;Masculino;Analistas de sistemas;Clt;Motocicleta;2;"22;3";;Não;8;5;Sim;Instagram, Youtube;;Youtube;2;;3;6;Sim;Musicais;;Pagode;Sim;Youtube;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;20;100;06/16/2020 22:23
4;33;SC;;;;;;;;;;;;;;;;;;;;;;;;Florianópolis;;;;Corrego Grande;Masculino;Engenheiros em computação - desenvolvedores de software;Outros;Ônibus;2;"0;30";;Não;15;10;Não;;;Youtube;0;;0;1;Não;Musicais;;Pop;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;29;06/16/2020 21:30
5;35;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Perdizes;Feminino;Psicólogos e psicanalistas;Autônomo;Carro;2;"8;40";;Sim;1;5;Sim;Instagram;;Instagram;1;;1;1;Não;Musicais, Humor;;Mpb;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;35;06/16/2020 20:22
6;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Campo Belo;Masculino;Programadores de informática;Clt;Carro;1;30;;Não;16;16;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube;;Youtube;1;;2;1;Não;Musicais;;Sertanejo;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;20;30;06/16/2020 19:36
7;28;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Pinheiros;Feminino;Outros engenheiros, arquitetos e afins;Clt;A pé;2;"28;28";;Não;5;4;Não;;;Outros;0;;0;1;Não;Musicais;;Rock;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 15:59
8;38;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Santo André;;Erasmo Assunção;Masculino;Representantes comerciais e técnicos de vendas;Clt;Carro;3;34,4,0;;Não;18;18;Sim;Facebook, Instagram, LinkedIn, Youtube;;Youtube;3;;2;2;Sim;Musicais, Humor;;Sertanejo;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 15:44
9;29;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Taboão da Serra;;Pq Pinheiros;Masculino;Programadores de informática;Clt;Ônibus;2;3,30;;Não;8;40;Não;;;Youtube;1;;1;1;Sim;Musicais;;rock;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:58
10;45;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Tatuapé;Masculino;Engenheiros em computação - desenvolvedores de software;Clt;Metro;4;"45;44;19;16";;Não;6;4;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Twitter, Vimeo, Youtube;;Youtube;2;;1;1;Não;Musicais;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:58
11;61;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Andrade;Feminino;Gerentes de áreas de apoio;Clt;Carro;0;60;;Sim;2;1;Não;;;Instagram;1;;1;1;Não;Musicais;;Rock;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:20
12;60;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Perdizes;Feminino;Técnicos em turismo;Autônomo;Carro;1;63;;Não;10;6;Não;;;Facebook;0;;0;1;Não;Musicais;;MPB;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 12:00
13;32;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Sorocaba;;Quintais do imperador;Feminino;Enfermeiros de nível superior e afins;Clt;Carro;0;00;;Não;5;8;Não;;;Instagram;0;;0;1;Não;Musicais;;Pop;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;2;20;06/16/2020 11:55
14;21;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Poá;;Centro;Masculino;Analistas de sistemas;Outros;Metro;4;"10;21;40;43";;Não;16;12;Sim;Twitch , Youtube;;Twitch;2;;2;2;Sim;Humor;;Nenhum;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;16;10;06/16/2020 11:29
15;31;RS;;;;;;;;;;;;;;;;;;;;;;;Lindolfo Collor;;;;;14 Colônias;Masculino;Outros trabalhadores dos serviços;Outros;Carro;1;37;;Sim;8;2;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitter, Vimeo, Youtube;;Youtube;1;;2;1;Sim;Musicais;;Celta, folk, rock, mpb, hinário;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;2;10;06/16/2020 10:53
16;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Mooca;Masculino;Advogados;Autônomo;Carro;3;"61;65;84";;Não;18;18;Não;;;Youtube;0;;1;1;Não;Musicais;;Sertanejo;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;50;06/16/2020 10:45
17;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Andrade;Prefiro não responder;Administradores;Autônomo;Carro;2;"2;30";;Não;4;3;Não;;;Outros;0;;0;0;Não;Musicais;;Diversificado;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 10:28
18;39;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Jardim Iris;Masculino;Administradores;Autônomo;Carro;3;"35;40";;Sim;20;4;Sim;Youtube;Webinar;Youtube;1;;2;1;Sim;Musicais;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/16/2020 09:21
19;27;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Tatuapé;Masculino;Profissionais de marketing, publicidade e comercialização;Clt;Metro;2;"57;51";;Sim;10;12;Sim;Amazon Prime, Facebook, LinkedIn, NetFlix, Youtube;;Youtube;2;;2;3;Não;Musicais;;Pagode/Sertanejo;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;2;06/16/2020 07:41
20;22;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Itaim Paulista;Masculino;Analistas de sistemas;PJ;Trem;3;"20;23;41";;Não;16;6;Não;;;Facebook;0;;0;2;Não;Humor;;Rap;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;7;06/16/2020 07:40
21;19;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Ré;Masculino;Garçons, barmen e copeiros;Clt;Metro;3;"26;56;57";;Não;8;6;Sim;Facebook, Instagram, LinkedIn, NetFlix, Twitch , Youtube, Outros;;Youtube;1;;3;2;Não;Musicais, Humor;;Todos;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;15;60;06/16/2020 07:35
22;32;RJ;;;;;;;;;;;;;;;;;;;Rio de Janeiro;;;;;;;;;Leblon;Masculino;Vendedores em quiosques e barracas;Autônomo;Motocicleta;2;"68;65";;Não;2;2;Sim;Badoo, Facebook, Instagram, LinkedIn, NetFlix, Twitter, Youtube;;Youtube;1;;2;2;Não;Musicais;;Funk;Sim;NetFlix;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;30;80;06/16/2020 00:46
23;46;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Suzana;Feminino;Administradores;Outros;Carro;2;"10;18";;Sim;1;5;Sim;Amazon Prime, Facebook, Instagram, NetFlix, Outros;;Instagram;2;;1;1;Não;Humor;;Eclético;Sim;Amazon Prime;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;10;60;06/15/2020 23:53
24;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Butantã;Masculino;Analistas de sistemas;Clt;Metro;2;"30;26;55;56";;Não;12;12;Não;;;NetFlix;0;;0;0;Não;Famosos;;Rock;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;5;10;06/15/2020 23:52
25;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Moji Das Cruzes;;Centro;Masculino;Eletrotécnicos na manutenção de máquinas e equipamentos;Autônomo;Carro;2;"26;6";;Não;4;6;Não;;;Youtube;0;;0;1;Não;Humor;;Todos;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;20;10;06/15/2020 23:15
26;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Santa Catarina;Feminino;Nutricionistas;PJ;Carro;2;"0,4;31";;Não;4;2;Sim;Instagram, Youtube;;Youtube;1;;2;2;Não;Musicais;;Pagode, Pop;Sim;Amazon Prime, NetFlix;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;40;100;06/15/2020 23:09
27;29;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Brooklin Paulista;Feminino;Nutricionistas;Clt;Carro;3;"29;60;61";;Não;4;8;Sim;Facebook, Instagram, LinkedIn, NetFlix, Youtube;;Youtube;2;;3;2;Não;Musicais;;Sertanejo;Não;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;100;50;06/15/2020 23:02
28;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Santana;Masculino;Engenheiros em computação - desenvolvedores de software;Clt;Motocicleta;4;29, 64, 77, 30;;Não;10;5;Não;;;Youtube;1;;1;1;Não;Famosos;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;30;06/15/2020 23:01
29;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Itaim bibi;Masculino;Técnicos de operações e serviços bancários;Clt;Ônibus;3;60;;Sim;12;12;Sim;Amazon Prime, Facebook, Instagram, LinkedIn, NetFlix, Twitch ;;Youtube;6;;1;1;Não;Musicais;;rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;5;19;06/15/2020 22:40
30;31;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Perdizes;Feminino;Professores de educação física, ginástica e desportos;Outros;Carro;1;34;;Sim;5;5;Sim;Instagram, NetFlix, Youtube;;Youtube;2;;2;3;Sim;Musicais;;Eletronicas e samba;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;1;10;06/15/2020 22:18
31;36;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila Mariana;Masculino;Advogados;PJ;Carro;2;40;;Não;5;2;Não;;;NetFlix;1;;1;1;Não;Musicais;;Eletrônico;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;9;0;06/15/2020 21:47
32;55;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Jardim Esther;Masculino;Professores do ensino superior;Clt;Carro;2;"13;44;55";;Sim;18;18;Não;;;Youtube;4;;3;2;Não;Musicais;;Todos;Sim;Youtube;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;50;50;06/15/2020 21:43
33;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;Cotia;;Granja Viana;Feminino;Supervisores de vendas e de prestação de serviços do comércio;Clt;Carro;3;"31;57;62";;Não;8;2;Sim;Facebook, Instagram, NetFlix, Youtube;;Youtube;1;;4;3;Não;Musicais;;MPB, sertanejo, Samba;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;15;40;06/15/2020 21:35
34;27;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Mandaqui;Masculino;Administradores;Clt;Carro;2;"55;62";;Não;14;8;Não;;;Facebook;0;;1;1;Não;Musicais, Humor;;Rock;Sim;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;0;06/15/2020 21:35
35;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Sumaré;Feminino;Psicólogos e psicanalistas;Clt;Carro;2;65, 70;;Não;18;8;Sim;Instagram;;Instagram;1;;1;2;Sim;Famosos, Humor;;Pra lives nenhum;Não;;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;15;40;06/15/2020 21:33
36;33;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Itaquera;Masculino;Programadores de informática;PJ;Trem;1;31;;Não;9;4;Sim;Amazon Prime, Facebook, Flickr, Instagram, LinkedIn, NetFlix, Twitch , Wallop;;Wallop;1;;2;2;Não;Musicais;;Rock;Sim;Amazon Prime, NetFlix;;;Compraria o ingresso;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;30;15;06/15/2020 21:30
37;34;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Barra Funda;Masculino;Engenheiros mecânicos;Clt;Motocicleta;1;35;;Não;10;4;Sim;Facebook, Instagram, LinkedIn, NetFlix, Youtube;;Youtube;1;;3;5;Não;Musicais;;Sertanejo;Sim;NetFlix;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;5;10;06/15/2020 21:23
38;30;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Moema;Feminino;Mantenedores de edificações;Clt;Carro;2;28,28,30;;Não;14;14;Não;;;NetFlix;10;;1;1;Não;Humor;;Rock;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;10;30;06/15/2020 21:20
39;37;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Vila guarani;Masculino;Outros advogados autônomos e de empresas;Clt;Metro;1;32;;Não;3;5;Não;;;LinkedIn;1;;1;1;Não;Humor;;Nao;Sim;;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Não;0;10;06/15/2020 21:18
40;33;SP;;;;;;;;;;;;;;;;;;;;;;;;;;São Paulo;;Aclimação;Prefiro não responder;Advogados;Outros;Carro;1;32;;Sim;16;13;Sim;Amazon Prime, Instagram, LinkedIn, NetFlix, Youtube, Outros;;Youtube;2;;2;2;Não;Musicais, Humor;;MPB;Sim;Amazon Prime, NetFlix;;;Assistiria de casa através das lives;;Mesmo que o mundo fique como era antes, coisa que eu acredito que nunca será =/ .  E as lives continuem..;Sim;10;10;06/15/2020 21:10
